"DateTime";"PJ total";"PF não rotativo"
"2013-02-01";7,56;3,8
"2013-03-01";6,14;4,17
"2013-04-01";5,62;5,44
"2013-05-01";5;5,22
"2013-06-01";4,28;4,59
"2013-07-01";3,6;4,93
"2013-08-01";3,38;4,93
"2013-09-01";4,02;8,02
"2013-10-01";2,46;7,38
"2013-11-01";2,22;8,73
"2013-12-01";3,01;10,53
"2014-01-01";2,61;10,13
"2014-02-01";2,7;11,22
"2014-03-01";3,17;10,34
"2014-04-01";2,71;8,08
"2014-05-01";1,73;7,5
"2014-06-01";1,77;7,63
"2014-07-01";1,43;6,79
"2014-08-01";1,31;5,25
"2014-09-01";1;4,15
"2014-10-01";0,64;5,15
"2014-11-01";0,19;5,02
"2014-12-01";-0,24;4,35
"2015-01-01";-0,32;3,09
"2015-02-01";-1,72;-0,5
"2015-03-01";-1,23;0,27
"2015-04-01";-1,44;-0,17
"2015-05-01";-1,35;-1,3
"2015-06-01";-1,23;-1,97
"2015-07-01";-0,8;-2,83
"2015-08-01";-0,65;-2,64
"2015-09-01";-1,28;-4,61
"2015-10-01";-1,36;-10,06
"2015-11-01";-1,19;-12,49
"2015-12-01";-1,82;-14,73
"2016-01-01";-2,8;-15,76
"2016-02-01";-2,13;-14,67
"2016-03-01";-3,81;-16,66
"2016-04-01";-4,71;-17,11
"2016-05-01";-4,9;-16,7
"2016-06-01";-6,28;-16,7
"2016-07-01";-8,08;-16,98
"2016-08-01";-8,64;-16,26
"2016-09-01";-9,38;-16,42
"2016-10-01";-9,98;-12,44
"2016-11-01";-10,62;-10,73
"2016-12-01";-11,56;-9,3
"2017-01-01";-10,74;-6,66
"2017-02-01";-11,55;-5,84
"2017-03-01";-10,51;-3,01
"2017-04-01";-10,42;-1,35
"2017-05-01";-10,36;1,08
"2017-06-01";-8,9;2,62
"2017-07-01";-7,4;4,8
"2017-08-01";-6,16;5,85
"2017-09-01";-5,44;9,43
"2017-10-01";-3,99;10,96
"2017-11-01";-2,77;12,58
"2017-12-01";-0,37;14,56
"2018-01-01";0,35;15,21
"2018-02-01";3,21;16,23
"2018-03-01";3,57;15,79
"2018-04-01";7,05;17,59
"2018-05-01";8,81;16,48
"2018-06-01";9,15;16,05
"2018-07-01";11,25;16,5
"2018-08-01";12,17;16,85
"2018-09-01";13,77;15,84
"2018-10-01";15,03;15,72
"2018-11-01";15,53;15,91
"2018-12-01";15,2;15,78
"2019-01-01";15,51;15,74
"2019-02-01";14,54;16,84
"2019-03-01";14,67;16,88
"2019-04-01";12,55;16,65
"2019-05-01";13,11;17,73
"2019-06-01";13,09;18,46
"2019-07-01";12,36;19,52
"2019-08-01";11,59;19,39
"2019-09-01";12,33;21,05
"2019-10-01";11,92;21,54
"2019-11-01";12,6;21,38
"2019-12-01";14,24;22,61
"2020-01-01";14,35;22,28
"2020-02-01";14,27;20,7
"2020-03-01";19;21,33
"2020-04-01";19,53;18,62
"2020-05-01";16,63;15,3
"2020-06-01";15,93;14,95
"2020-07-01";14,7;12,55
"2020-08-01";13,24;11,68
"2020-09-01";10,92;10,59
"2020-10-01";9,11;9,15
"2020-11-01";7,64;9,26
"2020-12-01";4,17;7,43
"2021-01-01";2,28;4,66
"2021-02-01";1,23;3,58
"2021-03-01";-4,63;2,84
"2021-04-01";-4,1;5,89
"2021-05-01";-0,79;10,37
"2021-06-01";1,86;11,49
"2021-07-01";3,46;13,3
"2021-08-01";6,84;14,82
"2021-09-01";10,01;14,28
