Data;1455 - Índice volume de vendas no varejo - Total - Brasil - Índice;1522 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Índice;20101 - Livros, jornais, revistas e papelaria - Índice;20662 - Concessões de crédito com recursos livres - Pessoas físicas - Total - R$ (milhões);20698 - Concessões de crédito com recursos direcionados - Pessoas físicas - Total - R$ (milhões);28473 - Índice volume de vendas no varejo - Total - Brasi - Dados dessazonalizados - Índice;28478 - Índice volume de vendas no varejo - Móveis e eletrodomésticos - Brasil - Dados dessazonalizados - Índice;28481 - Livros, jornais, revistas e papelaria - Dados dessazonalizados - Índice
01/2014;99,20 ;108,20 ;172,70 ;108.337 ;16.363 ;100,30 ;99,90 ;105,20
02/2014;90,90 ;89,20 ;125,20 ;106.237 ;16.710 ;100,50 ;100,20 ;99,80
03/2014;95,60 ;93,60 ;95,50 ;105.385 ;15.853 ;99,90 ;101,80 ;103,40
04/2014;95,30 ;92,40 ;82,50 ;108.376 ;18.787 ;99,90 ;103,00 ;99,80
05/2014;100,20 ;107,50 ;89,10 ;111.963 ;22.709 ;100,20 ;105,90 ;102,20
06/2014;92,60 ;89,50 ;74,80 ;108.390 ;22.873 ;99,20 ;100,70 ;95,60
07/2014;96,10 ;91,30 ;81,50 ;114.847 ;20.732 ;98,60 ;94,80 ;97,30
08/2014;99,10 ;94,50 ;90,60 ;109.546 ;23.645 ;100,20 ;99,60 ;100,10
09/2014;95,10 ;92,80 ;79,20 ;116.369 ;24.124 ;100,20 ;100,70 ;98,40
10/2014;102,20 ;98,90 ;80,60 ;124.091 ;22.960 ;101,00 ;98,90 ;93,40
11/2014;103,50 ;109,50 ;94,00 ;112.390 ;20.582 ;100,80 ;99,20 ;104,40
12/2014;130,30 ;132,70 ;134,50 ;130.105 ;24.086 ;99,90 ;97,50 ;96,30
01/2015;99,80 ;104,60 ;155,70 ;113.017 ;17.940 ;100,00 ;96,60 ;94,50
02/2015;87,90 ;79,70 ;117,20 ;101.022 ;13.714 ;99,00 ;93,50 ;96,50
03/2015;95,90 ;87,30 ;89,90 ;119.086 ;17.775 ;98,70 ;90,00 ;93,00
04/2015;92,10 ;78,30 ;74,90 ;111.715 ;17.938 ;97,40 ;88,30 ;92,00
05/2015;95,70 ;87,60 ;78,60 ;113.250 ;15.626 ;96,90 ;87,20 ;92,50
06/2015;90,10 ;77,30 ;70,50 ;114.149 ;18.784 ;95,70 ;85,10 ;89,20
07/2015;92,40 ;79,60 ;74,10 ;114.625 ;18.628 ;94,50 ;82,20 ;86,70
08/2015;92,20 ;76,90 ;76,60 ;111.083 ;20.610 ;93,80 ;82,00 ;86,20
09/2015;89,10 ;75,80 ;67,40 ;110.402 ;18.497 ;93,70 ;82,60 ;85,30
10/2015;96,40 ;82,90 ;73,00 ;109.498 ;15.652 ;94,30 ;83,40 ;85,20
11/2015;95,40 ;93,40 ;77,10 ;114.635 ;16.190 ;93,00 ;82,60 ;84,30
12/2015;120,90 ;107,60 ;114,30 ;121.503 ;18.797 ;92,70 ;81,10 ;82,80
01/2016;89,20 ;78,80 ;135,50 ;103.508 ;10.578 ;90,40 ;73,90 ;82,00
02/2016;84,20 ;71,50 ;98,10 ;106.054 ;11.306 ;91,70 ;80,20 ;77,20
03/2016;90,40 ;75,20 ;75,40 ;112.509 ;14.750 ;91,10 ;78,10 ;77,60
04/2016;85,80 ;70,30 ;60,90 ;106.139 ;14.552 ;90,80 ;76,40 ;73,90
05/2016;87,10 ;74,30 ;59,40 ;114.529 ;15.065 ;90,10 ;75,50 ;73,00
06/2016;85,70 ;69,10 ;57,60 ;113.802 ;19.580 ;89,90 ;74,80 ;71,90
07/2016;87,20 ;71,10 ;61,50 ;110.430 ;14.278 ;89,20 ;74,90 ;71,70
08/2016;87,10 ;69,70 ;65,00 ;119.029 ;17.708 ;88,90 ;72,60 ;71,60
09/2016;84,00 ;65,70 ;55,30 ;108.839 ;14.859 ;87,80 ;71,80 ;70,20
