trimestre;media
jan-fev-mar 2012;2425
fev-mar-abr 2012;2438
mar-abr-mai 2012;2430
abr-mai-jun 2012;2435
mai-jun-jul 2012;2447
jun-jul-ago 2012;2455
jul-ago-set 2012;2451
ago-set-out 2012;2449
set-out-nov 2012;2446
out-nov-dez 2012;2443
nov-dez-jan 2013;2452
dez-jan-fev 2013;2469
jan-fev-mar 2013;2483
fev-mar-abr 2013;2489
mar-abr-mai 2013;2492
abr-mai-jun 2013;2514
mai-jun-jul 2013;2530
jun-jul-ago 2013;2546
jul-ago-set 2013;2547
ago-set-out 2013;2553
set-out-nov 2013;2545
out-nov-dez 2013;2525
nov-dez-jan 2014;2523
dez-jan-fev 2014;2547
jan-fev-mar 2014;2574
fev-mar-abr 2014;2573
mar-abr-mai 2014;2571
abr-mai-jun 2014;2559
mai-jun-jul 2014;2555
jun-jul-ago 2014;2571
jul-ago-set 2014;2579
ago-set-out 2014;2589
set-out-nov 2014;2573
out-nov-dez 2014;2575
nov-dez-jan 2015;2581
dez-jan-fev 2015;2575
jan-fev-mar 2015;2576
fev-mar-abr 2015;2569
mar-abr-mai 2015;2557
abr-mai-jun 2015;2562
mai-jun-jul 2015;2544
jun-jul-ago 2015;2531
jul-ago-set 2015;2530
ago-set-out 2015;2519
set-out-nov 2015;2500
out-nov-dez 2015;2488
nov-dez-jan 2016;2495
dez-jan-fev 2016;2479
jan-fev-mar 2016;2498
fev-mar-abr 2016;2479
mar-abr-mai 2016;2488
abr-mai-jun 2016;2461
mai-jun-jul 2016;2465
jun-jul-ago 2016;2486
jul-ago-set 2016;2483
ago-set-out 2016;2488
set-out-nov 2016;2492
out-nov-dez 2016;2504
nov-dez-jan 2017;2513
dez-jan-fev 2017;2519
jan-fev-mar 2017;2534
fev-mar-abr 2017;2523
mar-abr-mai 2017;2520
abr-mai-jun 2017;2511
mai-jun-jul 2017;2511
jun-jul-ago 2017;2508
jul-ago-set 2017;2521
ago-set-out 2017;2528
set-out-nov 2017;2538
out-nov-dez 2017;2538
nov-dez-jan 2018;2547
dez-jan-fev 2018;2558
jan-fev-mar 2018;2558
fev-mar-abr 2018;2568
mar-abr-mai 2018;2568
abr-mai-jun 2018;2565
mai-jun-jul 2018;2556
jun-jul-ago 2018;2568
jul-ago-set 2018;2558
ago-set-out 2018;2559
set-out-nov 2018;2562
out-nov-dez 2018;2577
nov-dez-jan 2019;2592
dez-jan-fev 2019;2601
jan-fev-mar 2019;2593
fev-mar-abr 2019;2580
mar-abr-mai 2019;2562
abr-mai-jun 2019;2560
mai-jun-jul 2019;2553
jun-jul-ago 2019;2563
jul-ago-set 2019;2561
ago-set-out 2019;2581
set-out-nov 2019;2592
out-nov-dez 2019;2586
nov-dez-jan 2020;2593
dez-jan-fev 2020;2594
jan-fev-mar 2020;2614
fev-mar-abr 2020;2644
mar-abr-mai 2020;2688
abr-mai-jun 2020;2735
mai-jun-jul 2020;2772
jun-jul-ago 2020;2771
jul-ago-set 2020;2772
ago-set-out 2020;2729
set-out-nov 2020;2695
out-nov-dez 2020;2657
nov-dez-jan 2021;2650
dez-jan-fev 2021;2628
jan-fev-mar 2021;2635
fev-mar-abr 2021;2604
mar-abr-mai 2021;2602
abr-mai-jun 2021;2554
mai-jun-jul 2021;2528
jun-jul-ago 2021;2489
